z=x^3-100*x+50を計算するプログラムを作成し、csvファイル上に書き込む。
x=-10.000000, y=203.000000, z=50.000000
x=-9.000000, y=165.000000, z=221.000000
x=-8.000000, y=131.000000, z=338.000000
x=-7.000000, y=101.000000, z=407.000000
x=-6.000000, y=75.000000, z=434.000000
x=-5.000000, y=53.000000, z=425.000000
x=-4.000000, y=35.000000, z=386.000000
x=-3.000000, y=21.000000, z=323.000000
x=-2.000000, y=11.000000, z=242.000000
x=-1.000000, y=5.000000, z=149.000000
x=0.000000, y=3.000000, z=50.000000
x=1.000000, y=5.000000, z=-49.000000
x=2.000000, y=11.000000, z=-142.000000
x=3.000000, y=21.000000, z=-223.000000
x=4.000000, y=35.000000, z=-286.000000
x=5.000000, y=53.000000, z=-325.000000
x=6.000000, y=75.000000, z=-334.000000
x=7.000000, y=101.000000, z=-307.000000
x=8.000000, y=131.000000, z=-238.000000
x=9.000000, y=165.000000, z=-121.000000
x=10.000000, y=203.000000, z=50.000000
